date,open,high,close,low,volume,amount
2008-12-02,2586.206,2721.795,2696.9770000000003,2569.3289999999997,681704704,5243931648
2008-12-03,2723.9040000000005,2821.0359999999996,2809.053,2718.4309999999996,771991744,6461003776
2008-12-04,2839.615,2929.1020000000003,2828.153,2820.414,962935488,8246544896
2008-12-05,2815.446,2888.655,2884.656,2800.723,637981440,5447927808
2008-12-08,2921.1420000000003,2999.955,2999.955,2914.002,813194368,7283055616
2008-12-09,3007.86,3035.6420000000003,2958.508,2939.635,696850176,6338522624
2008-12-10,2937.06,3038.002,3031.563,2913.676,656044288,5793725440
2008-12-11,3029.1279999999997,3045.986,2924.8190000000004,2923.761,566663232,5141109760
2008-12-12,2895.663,2901.5429999999997,2790.8540000000003,2737.823,528827360,4632392704
2008-12-15,2817.54,2844.3190000000004,2823.7309999999998,2760.8790000000004,387059232,3270316288
2008-12-16,2800.177,2900.559,2900.0570000000002,2760.0040000000004,378734688,3413521920
2008-12-17,2911.074,2999.7009999999996,2943.2340000000004,2909.889,494896480,4620088832
2008-12-18,2943.2070000000003,2989.7259999999997,2989.572,2909.38,454792832,3818793984
2008-12-19,2992.236,3063.401,3036.57,2980.752,547540288,4950256640
2008-12-22,3041.113,3088.667,3061.0679999999998,2983.0820000000003,580175744,5347125248
2008-12-23,3062.9829999999997,3062.9829999999997,2885.965,2884.362,636707584,5878008832
2008-12-24,2842.772,2867.152,2819.6479999999997,2789.796,471176448,3904474624
2008-12-25,2832.8059999999996,2875.5690000000004,2841.116,2792.223,356470080,3125250304
2008-12-26,2841.083,2887.992,2867.151,2828.808,385969312,4869894656
2008-12-29,2860.579,2873.8379999999997,2864.3140000000003,2774.762,359985568,3827688960
2008-12-30,2859.915,2886.711,2876.1,2837.472,363623456,3712084224
2008-12-31,2871.657,2913.157,2863.99,2859.099,360421216,3937301248
2009-01-05,2910.563,2946.973,2946.4359999999997,2882.6929999999998,437301408,4702206464
2009-01-06,2936.74,2994.38,2981.815,2914.48,618185792,6406472704
2009-01-07,2976.1490000000003,3022.158,2992.9959999999996,2961.4429999999998,522696032,5367064064
2009-01-08,2941.796,2968.349,2932.491,2905.4570000000003,453200608,4513846272
2009-01-09,2933.264,3013.6,3013.6,2933.264,527414016,5240399360
2009-01-12,3011.366,3091.12,3043.8059999999996,3002.445,683219072,6297963520
2009-01-13,3014.1020000000003,3014.1020000000003,2945.488,2944.5809999999997,518304736,4734679040
2009-01-14,2932.0840000000003,3058.07,3058.07,2932.0840000000003,502568832,4891353600
2009-01-15,3042.65,3096.6209999999996,3066.5209999999997,3028.928,628696768,6014802432
2009-01-16,3080.4109999999996,3125.466,3071.276,3064.953,673235456,6730401792
2009-01-19,3082.817,3109.309,3067.927,3038.191,477436768,4962714112
2009-01-20,3062.75,3102.7740000000003,3102.7740000000003,3043.514,376280736,3821817600
2009-01-21,3060.1279999999997,3074.342,3038.8309999999997,3014.475,613152064,6991904768
2009-01-22,3047.3590000000004,3080.367,3078.822,3029.699,496517408,5381106176
2009-01-23,3072.045,3082.777,3059.426,3043.9990000000003,435848160,4343298048
2009-02-02,3080.975,3127.3759999999997,3127.152,3066.841,444507392,4732625920
2009-02-03,3126.145,3188.55,3188.55,3117.6079999999997,634592448,6478491136
2009-02-04,3207.698,3243.072,3242.2470000000003,3193.803,729926080,7925214720
2009-02-05,3240.4809999999998,3256.578,3174.558,3149.93,771469248,8574790144
2009-02-06,3179.337,3301.935,3301.935,3179.337,783671680,8962233344
2009-02-09,3337.2790000000005,3430.03,3422.941,3304.511,945373248,11402094592
2009-02-10,3409.7990000000004,3486.1209999999996,3486.1209999999996,3370.567,830308800,9812575232
2009-02-11,3431.6820000000002,3576.9359999999997,3490.0040000000004,3415.61,975182784,11725711360
2009-02-12,3491.595,3521.205,3518.955,3390.708,773902720,8887361536
2009-02-13,3523.6459999999997,3632.725,3632.164,3522.9559999999997,885821760,10488617984
2009-02-16,3676.117,3694.441,3655.953,3583.191,892799424,11561668608
2009-02-17,3648.782,3663.84,3548.796,3540.712,869755584,11023190016
2009-02-18,3473.7070000000003,3530.302,3412.607,3411.42,710865664,9027693568
2009-02-19,3439.736,3509.2470000000003,3480.8740000000003,3426.053,581936384,7435748352
2009-02-20,3493.885,3583.3259999999996,3583.3259999999996,3459.5209999999997,612534080,7950969344
2009-02-23,3572.086,3683.4590000000003,3675.781,3539.76,723513088,9028955136
2009-02-24,3637.763,3666.8590000000004,3512.2059999999997,3492.038,836883840,10538024960
2009-02-25,3537.5290000000005,3563.427,3492.21,3396.027,684460288,8772826112
2009-02-26,3489.296,3533.656,3283.597,3230.947,735282496,9130960896
2009-02-27,3232.381,3262.025,3187.717,3135.1740000000004,622825728,7342883328
2009-03-02,3167.282,3256.9359999999997,3246.772,3164.3390000000004,467300416,5512036352
2009-03-03,3173.0559999999996,3290.812,3254.304,3153.474,530893952,6448379904
2009-03-04,3264.015,3447.308,3440.9309999999996,3264.015,734095040,9338175488
2009-03-05,3474.6940000000004,3491.941,3441.571,3372.6059999999998,798691776,9745895424
2009-03-06,3389.224,3463.192,3436.158,3376.6,639258048,7465039360
2009-03-09,3446.2270000000003,3493.5409999999997,3304.051,3295.97,661306240,7555329536
2009-03-10,3263.989,3363.281,3362.1220000000003,3252.4120000000003,455312640,5089752576
